Response Time,Availability,Throughput,Successability,Reliability,Compliance,Best Practices,Latency,Documentation,Service Name,Service Classification
202,98,9.7,99,80,78,87,43,94,ScheduleFileWebService,Silver
337,93,4.7,98,67,78,72,27,1,RsvmService,Gold
629,92,2.1,97,50,78,66,15,1,backtranambigService,Platinum
339,87,11.7,95,67,78,72,48,3,Personalizer,Gold
275,88,4,96,50,78,66,20,8,GetTradingConditions,Gold
303,91,12.3,97,78,89,89,5,5,MarketData,Gold
182,100,29.2,100,80,100,87,1,31,notification,Silver
3157.61,23,1.3,23,78,89,89,60.11,5,Main,Platinum
790.2,91,3.1,97,78,78,89,1.8,9,RandomPlayer,Platinum
307.3,17,3.8,17,42,89,62,20.23,4,tipService,Gold
150.91,86,13.5,95,67,78,77,4.18,9,AddressVerifier,Silver
176,90,13.8,97,67,78,77,2,8,politicalareareport,Silver
161.54,90,9.6,96,67,89,58,29.54,89,PML,Silver
437.8,90,7.3,97,60,89,69,256.07,4,MetarService,Platinum
120,97,11.9,99,73,78,84,57,41,DatabindingPatterns,Bronze
230.89,79,11,79,60,89,69,4.11,9,PipelineManagerALE,Gold
43,72,15.2,72,73,78,84,4.5,5,RouteCalSrv2Service,Bronze
555,83,5.6,84,73,89,84,111,4,Departements,Platinum
2555,83,0.3,84,73,78,88,2035,64,emastService,Platinum
167.5,55,6.3,56,67,89,72,26.67,10,TaxData,Silver
455.94,64,4.9,64,53,89,66,17.53,6,CBRFSearchSystem,Platinum
1196,83,5.5,84,78,89,89,585,9,XigniteHistorical,Platinum
291.25,92,3,97,60,67,74,16.25,5,erez3,Gold
55.5,81,19.1,82,73,100,80,4.75,3,nEkaWebService,Bronze
99,83,17.1,84,73,78,80,4,5,search,Bronze
88,83,28.2,84,89,89,93,3,10,WSTCoffeeService,Bronze
132.67,97,6.9,99,73,78,84,8.34,5,newcpgseekService,Bronze
161,100,12.5,100,73,100,80,5,8,Products,Silver
1316.75,88,3.8,96,80,100,87,308,7,XWeb1003Port,Platinum
130.75,95,21.7,98,73,78,80,8,10,marketService,Bronze
222.08,59,7.6,59,73,78,80,60.37,27,RrnascanService,Silver
289.5,70,7.5,70,73,78,80,110.25,36,Helper,Gold
239.05,97,8.8,99,67,78,77,37.38,3,XarayaSoap,Gold
151.22,93,13.6,93,73,78,62,1.44,11,GeDat,Silver
152.45,96,13.2,99,67,78,77,6.09,8,AddressVerifier,Silver
239.33,88,9,96,83,78,91,7,7,HolidayService,Gold
368,61,1,62,53,89,66,202.82,63,QueryDeathIndex,Platinum
201.12,44,0.9,44,67,89,72,112.87,65,IgetNumbersservice,Silver
237.33,63,4.3,64,67,89,72,120,59,retsinfoService,Gold
357.57,28,1,30,67,89,72,233,96,Wordml2latexService,Platinum
